                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1111,                 3.2382,                 2.8612,                 1.4725,                0.00278,                0.66667,                0.18433,                0.07746,                      0,                      0,                      0,                      0,                 2.6088,                 30.124,                 4.0503,                 3.5501,                 0.0973,                 0.0003,                 0.0003
                      2,                 1.0898,                 2.4209,                 2.1214,                 1.3736,                0.00746,                0.66667,                0.01577,                 0.0052,                      0,                      0,                      0,                      0,                 2.7216,                 36.164,                 3.3157,                 3.2536,               0.093631,              0.0006307,              0.0006307
                      3,                 1.3496,                 2.7601,                 2.1748,                 1.7233,                0.00475,                0.73333,                0.07827,                0.01479,                0.00043,                0.06667,                0.00039,                  4e-05,                 2.6467,                 31.198,                 3.3922,                 3.9649,               0.089882,              0.0008822,              0.0008822
                      4,                 1.5906,                  2.467,                 2.0327,                 1.9056,                0.01966,                    0.6,                0.05341,                0.01573,                      0,                      0,                      0,                      0,                   2.37,                 72.022,                 3.5139,                 6.5842,               0.086055,              0.0010545,              0.0010545
                      5,                 1.4875,                 2.5151,                 1.8641,                 1.7518,                0.42124,                0.13333,                0.14794,                 0.0591,                      0,                      0,                      0,                      0,                  2.458,                 65.048,                 5.2761,                 5.4915,               0.082148,              0.0011476,              0.0011476
                      6,                 1.5358,                 2.3108,                 1.9382,                 1.8418,                0.11656,                0.13333,                0.05128,                 0.0154,                      0,                      0,                      0,                      0,                  2.313,                 60.783,                 7.0925,                 5.1503,               0.078162,              0.0011615,              0.0011615
                      7,                 1.3963,                 2.4336,                 1.8031,                 1.6375,                0.18356,                0.13333,                0.07307,                0.01593,                0.00071,                0.06667,                 0.0004,                0.00012,                 2.5891,                 45.674,                 5.1354,                 6.5029,               0.074096,              0.0010962,              0.0010962
                      8,                 1.3633,                 2.1547,                 1.7222,                 1.7156,                0.27101,                0.13333,                0.08638,                0.02747,                0.00389,                0.53333,                0.00419,                0.00104,                 2.6548,                 15.969,                  3.228,                 4.5028,               0.069952,              0.0009517,              0.0009517
                      9,                 1.3258,                 1.9043,                 1.6139,                 1.6814,                0.13112,                0.33333,                0.09389,                0.02867,                0.04367,                    0.2,                0.01305,                0.00334,                 2.3033,                 8.9491,                 2.6558,                 3.3901,               0.065728,               0.000728,               0.000728
                     10,                 1.2893,                  1.908,                 1.5233,                 1.6173,                0.22792,                0.33333,                0.12749,                0.04435,                 0.1056,                    0.2,                0.03505,                0.00903,                 2.5631,                 8.7766,                 2.6269,                 3.1105,               0.061425,              0.0004251,              0.0004251
